"gene","logFC_cellbender","FDR_cellbender","logFC_cellranger","FDR_cellranger","concordant_DE"
"KCNN3",3.16963591602588,1.79495364568815e-17,3.60331226291117,4.08549844762173e-18,TRUE
"JADE1",-1.50867340059034,2.10455714329815e-17,-1.82979039274197,4.73561828628046e-18,TRUE
"TLL2",3.08555313302933,5.62097869233418e-17,3.90763418203219,1.99175414666202e-18,TRUE
"WASF3",-1.41025803796563,1.76026368797738e-16,-1.67633103317679,1.55970055215207e-17,TRUE
"ITGA5",-1.75144847836027,5.14674139665543e-16,-2.06024994030344,6.73683855585602e-16,TRUE
"ESR1",1.40686643182042,6.70881333391731e-16,1.89267566934543,4.15339139830356e-17,TRUE
"AOX1",-2.51429677725254,1.03194403792311e-15,-2.88142242851321,8.10154028742517e-17,TRUE
"AP002518.2",-1.68682931887057,1.08302765932241e-15,-2.96983088784697,5.18723878775234e-17,TRUE
"CYS1",2.83866871986933,1.86204139010266e-15,2.83302925679305,8.6003827447466e-17,TRUE
"AL513327.1",-1.63786971835097,3.06828635373145e-15,-2.06217681558711,3.21582879787373e-16,TRUE
"ZBTB16",-1.61380616979273,7.27759066973601e-15,-2.70647946957884,4.19955065358627e-19,TRUE
"FKBP5",-2.12609102881305,1.29710519530566e-14,-2.68636966817459,1.58501652606398e-18,TRUE
"FREM1",1.81940956409948,1.29710519530566e-14,2.44066944560349,6.43889505657816e-15,TRUE
"MGST1",-1.32580614587142,1.79348415177688e-14,-2.15080250169862,3.00138415080608e-15,TRUE
"DUBR",1.38241637861599,2.49892352485637e-14,1.62862259253422,2.79575608321864e-15,TRUE
"C1QTNF7",1.30386686776812,2.49892352485637e-14,1.52322397509957,1.45875860068144e-13,TRUE
"NMD3",1.24942800455893,3.41538394103432e-14,1.17408431920993,1.36069404434586e-14,TRUE
"SYT17",1.68235981121938,4.79564511213495e-14,1.85992602740217,3.21582879787373e-16,TRUE
"WASF3-AS1",-2.07522483819094,9.47498827204589e-14,-2.17705272919176,1.0389630628099e-13,TRUE
"PRTFDC1",1.54310043558257,1.33440477872641e-13,1.76863132966542,1.08365625090327e-14,TRUE
"RHEB",-1.17522772801286,1.65691806676297e-13,-0.854269748833907,5.65189799937773e-12,TRUE
"CPQ",0.578440322799619,1.65691806676297e-13,0.872218453480156,1.36069404434586e-14,TRUE
"SRPX2",-1.1208966341432,1.76681747387938e-13,-1.49136875601174,2.47224166325652e-13,TRUE
"MATN2",1.40492903452621,1.80274379577275e-13,1.7052268696886,4.42534660168792e-14,TRUE
"ADAMTS2",-1.05411918050473,1.88758867319753e-13,-1.24207500670171,2.00826819821812e-12,TRUE
"SMIM3",-1.37118978858652,2.73134885249431e-13,-1.47705938936597,1.45875860068144e-13,TRUE
"GBE1",-1.31590612968207,3.28181159699818e-13,-1.55027836811413,1.57824736616128e-14,TRUE
"NR3C1",0.830929027696671,3.61604453733513e-13,0.777536106117811,4.77737954942758e-13,TRUE
"KCNMB2-AS1",1.61301326242073,3.70673659857667e-13,1.95237133302724,1.12605134888367e-14,TRUE
"FNDC5",2.12965170163971,3.93661479526521e-13,2.01169136705151,4.52824076761325e-14,TRUE
"CBLB",-1.13582371305969,5.2268553980571e-13,-1.31882692339028,4.33889353480919e-13,TRUE
"LDB2",2.14024061892809,5.2789701985834e-13,1.26783302193022,7.84669673191802e-15,TRUE
"VMP1",-0.747421207661808,8.96799874015609e-13,-0.731946826379375,4.7376342184831e-11,TRUE
"UGGT2",-0.581961425062009,1.30057894886203e-12,-0.827450924639384,1.51010497350258e-11,TRUE
"ITGB8",2.20406259611433,1.62637218734398e-12,2.38748267700863,5.13797420520595e-15,TRUE
"EDA",1.06629378457258,1.97151595390386e-12,1.34989437565047,1.77985576642419e-12,TRUE
"KCNMB2",2.25045463448971,2.16605675880239e-12,1.98459810766324,4.80910258296786e-16,TRUE
"LAMA4",1.75514959674726,2.58856382225558e-12,1.66425332096993,1.45875860068144e-13,TRUE
"GLYATL2",2.04647536872109,2.76826950448677e-12,2.23354116907371,1.49813718022648e-12,TRUE
"AC092338.3",-0.841937269959382,2.76826950448677e-12,-0.851684945694772,9.96506087499706e-12,TRUE
"ADAMTS12",1.65147204363716,3.01517336965437e-12,1.89136042937839,7.45134905187047e-12,TRUE
"NID1",-0.92125807210714,3.0292994550307e-12,-1.59739945657223,6.43889505657816e-15,TRUE
"FOXO1",-0.7438461710129,3.0292994550307e-12,-1.30466699818198,1.46053776476918e-12,TRUE
"SLC25A13",-0.567176165426858,3.19871251569399e-12,-0.837489190568326,1.36069404434586e-14,TRUE
"MMP16",1.49144766664169,3.27011103286817e-12,1.95184360557662,5.05248140819567e-13,TRUE
"GLT8D2",1.26335207888017,3.33863506181853e-12,1.43779897735637,1.12598212536328e-12,TRUE
"MAPK10",0.702931063497458,3.39659319706335e-12,1.12978104027847,2.28215383440526e-13,TRUE
"STOX2",1.45915262838311,3.84968970839074e-12,0.850450377867676,3.88144628768918e-11,TRUE
"LPAR4",2.08219893302835,4.21654193096104e-12,2.14879447984848,3.2539479747515e-12,TRUE
"TET1",0.997789143608859,4.23692348662341e-12,1.12775869587465,1.72208692009032e-11,TRUE
"ITIH5",1.73463079299745,4.31060891414455e-12,2.1096089486933,2.22809213500004e-12,TRUE
"NNMT",-1.64636321430922,4.42886183411078e-12,-2.42570812535543,6.16040510478558e-13,TRUE
"TMC3-AS1",1.96356807512331,4.42886183411078e-12,1.96515922142803,1.29565844102099e-11,TRUE
"PHC2",-1.35944074496188,4.6224949269914e-12,-1.19015838643695,1.35584411064167e-12,TRUE
"PLIN2",-1.66949095886235,4.6224949269914e-12,-1.92425403743923,6.37090200975003e-12,TRUE
"RAB7B",3.22660872220746,5.43179656125874e-12,3.0443291075525,3.05814728527013e-12,TRUE
"ANKRD36C",0.958652025314246,5.68281750439753e-12,1.10406644506539,4.69227243860007e-13,TRUE
"PLA2G4C",2.03652921346128,6.06609511492173e-12,1.79094762891506,1.46688453899714e-13,TRUE
"LINC00342",0.940107774716229,6.53298795477929e-12,1.10980773215952,3.78127306669034e-12,TRUE
"PGR-AS1",1.75467754494951,6.64266460596932e-12,1.80172587803459,1.36069404434586e-14,TRUE
"TRERF1",1.17657056190562,7.75417033054849e-12,1.36972870185724,6.34841626297958e-12,TRUE
"AL021707.1",-1.10084952693307,8.26566414904135e-12,-1.09502544792746,8.88621094569404e-11,TRUE
"KCNS3",1.52798135601569,8.6774281296884e-12,1.88015091142222,2.00826819821812e-12,TRUE
"PRRT2",1.70100004636133,8.86636991815162e-12,1.8605232826483,4.06320805562613e-12,TRUE
"SLC19A2",-1.85294940454456,9.01951172847038e-12,-2.13067243573519,2.31543788422314e-11,TRUE
"PROS1",1.0406970704363,9.14724368663627e-12,1.11914802577068,7.80067340460863e-11,TRUE
"IL34",1.8107810722205,9.14724368663627e-12,2.03730328473289,1.11875805929882e-11,TRUE
"OSBPL9",-0.631907507983024,9.75009784315716e-12,-0.969585523610548,1.78747485740524e-12,TRUE
"KDM7A",-0.83232361944931,9.75009784315716e-12,-0.962593865744976,7.12194409983805e-10,TRUE
"SAMHD1",-1.4263609508692,9.75009784315716e-12,-1.9362989686695,2.00142948548784e-14,TRUE
"TANK",-0.705972506928349,1.0068504815856e-11,-0.954552311410873,7.97982273283233e-12,TRUE
"PDE7B",1.04799453559571,1.03753047060893e-11,1.0878637339971,6.83043228177604e-12,TRUE
