"gene","logFC_cellbender","FDR_cellbender","logFC_cellranger","FDR_cellranger","concordant_DE"
"CPM",-1.26756609239132,6.98892659594301e-17,-2.10769816686312,1.1206625011401e-17,TRUE
"MAP1B",-0.678690113347861,1.72251516598493e-14,-1.29531573255049,5.30767421656783e-14,TRUE
"CDC42EP4",-1.53329106425965,2.88000559620892e-14,-1.73827401574773,4.67841049958499e-14,TRUE
"AP002518.2",-1.29234460516936,2.99930942306274e-14,-1.91448011086541,4.67841049958499e-14,TRUE
"ZBTB16",-1.06858868241449,8.61761967871242e-14,-1.61986425987848,1.85528853669592e-15,TRUE
"SLC39A11",-1.0573835672812,1.3230263947424e-13,-1.52147196246344,2.31199287814661e-13,TRUE
"MDM2",-0.936369201984144,2.52727889415119e-13,-1.19437515316802,4.67841049958499e-14,TRUE
"ADAMTS9",-1.47761113029174,3.61637897981768e-13,-2.61302321236098,2.6596793382597e-12,TRUE
"BMX",-1.35303169968252,2.22552126711359e-12,-1.64390963292752,4.62898901684291e-12,TRUE
"ITIH5",1.43458684377414,2.49566418547808e-12,1.8282253454107,3.63165488353459e-12,TRUE
"RGL3",-1.60565680716184,2.49566418547808e-12,-2.18511640422101,2.53022995227203e-12,TRUE
"SYN3",-0.940759871472556,3.21090110721897e-12,-1.65816522810034,1.85517369366285e-13,TRUE
"TIMP3",-0.741303650091714,3.21090110721897e-12,-1.31958182237028,6.12024402651152e-13,TRUE
"LINC01619",-1.49895667019553,3.38565916646622e-12,-2.05472321953618,4.910240154026e-13,TRUE
"HIPK2",-0.813338296951478,5.20496553482895e-12,-1.53298823338288,3.45378329143996e-11,TRUE
"AL713852.1",-1.78317372660619,7.79826286171471e-12,-1.834927107783,3.20796735412645e-11,TRUE
"NNMT",-1.60574718398197,1.71221521658145e-11,-1.7779505961623,1.26474432850487e-10,TRUE
"GGT5",-1.24143817804637,2.17149378740177e-11,-1.51049376783703,4.54362880065596e-11,TRUE
"ADAMTS9-AS2",0.879723165603843,2.49193851782939e-11,1.59258757812765,2.82926342991757e-11,TRUE
"BCL6",-1.18424909303764,2.56702832849515e-11,-1.4608483711433,2.85999351230955e-10,TRUE
"STARD4-AS1",1.64959947817192,2.56702832849515e-11,1.72215738028034,1.71154605307519e-11,TRUE
"LAMB1",-1.35831239326263,2.56702832849515e-11,-1.65553069698525,3.32832713240477e-11,TRUE
"CACNA1H",-1.37468025069208,2.56702832849515e-11,-1.46023970588649,2.446054449324e-11,TRUE
"ACE2",-1.55918020133678,2.56702832849515e-11,-1.95577549935558,2.51693837364778e-11,TRUE
"SPARCL1",-0.51103807057856,6.77646933509299e-11,-0.68598578687078,3.03305257278629e-11,TRUE
"DENND3",-1.49886658834523,6.77646933509299e-11,-1.82279214958133,2.85999351230955e-10,TRUE
"PER1",-0.944641677143004,9.31107988124005e-11,-1.02692086004643,9.6941241094066e-11,TRUE
"AL513327.1",-0.755958031595873,1.09707574679924e-10,-0.868146033419771,6.39492967517402e-09,TRUE
"LPP",-0.374390523848936,1.23680267030251e-10,-0.751985775791586,3.5324298205673e-11,TRUE
"TMEM74B",1.2376516561745,1.67203550674179e-10,1.27774708188143,4.69333956583226e-10,TRUE
"ANTXR1",0.579508827389264,2.34518286340613e-10,0.832710015545621,2.94342475983208e-11,TRUE
"CERS6",-0.599990820936692,2.34518286340613e-10,-0.798130189233944,2.42552527116328e-08,TRUE
"FKBP5",-1.40502572972966,2.34518286340613e-10,-1.34239713214699,1.50866639858373e-11,TRUE
"NTF3",1.89193589241522,2.34518286340613e-10,2.10493403626457,3.90435745441881e-10,TRUE
"LRRTM3",1.45464784939734,2.8613127168789e-10,0.616833149360738,2.4093697562158e-05,TRUE
"NREP",1.38503002368701,3.34755729790916e-10,1.30042826600583,2.84574281389149e-10,TRUE
"AL034417.2",2.1791964268642,3.57260984882021e-10,2.44709894477033,1.83685504668713e-10,TRUE
"LDB2",1.04749984355752,3.57260984882021e-10,0.747599934800359,1.03737703541366e-11,TRUE
"HMOX2",-1.08507149841617,3.57260984882021e-10,-1.15936122602339,1.32172089462712e-09,TRUE
"TCF7L1",0.594377055139954,4.50593989866845e-10,0.839491394299011,2.84574281389149e-10,TRUE
"UGGT2",-0.543539966550201,4.50593989866845e-10,-0.741838810734845,1.51962507793535e-10,TRUE
"ASAP1",-0.536935115131527,6.30023478177766e-10,-0.84386584018713,3.10107249116509e-09,TRUE
"PITPNM2",0.860405502215557,6.30023478177766e-10,1.13561548566603,5.74253885216267e-11,TRUE
"LIPA",-1.07002214374447,6.69906535300683e-10,-1.48803842441543,1.18106460451454e-09,TRUE
"AC107208.1",1.7386107921198,7.30708635240184e-10,1.6236535846145,5.92222544357825e-10,TRUE
"MOCS1",-0.951676109710792,7.30708635240184e-10,-1.11506442655698,7.54826795241639e-10,TRUE
"STK39",-0.485574653665626,7.41621672714804e-10,-0.848574785382146,2.84574281389149e-10,TRUE
"STXBP4",-1.07037563321463,7.52028209517267e-10,-1.17713298011918,6.39492967517402e-09,TRUE
"LIN7A",-0.580148222194222,7.69492654019514e-10,-0.834017366271982,1.0902816527249e-08,TRUE
"CCDC192",-1.66761370044789,9.58990903794126e-10,-1.92024714832524,1.36337822762691e-09,TRUE
"GMDS-DT",0.514364265203252,1.18090610616262e-09,0.439889567570974,3.12830052521135e-06,TRUE
"DGKB",0.985178370040307,1.18090610616262e-09,1.29440214228719,1.41834119065758e-10,TRUE
"PLA2G4C",0.967030875440966,1.34423903443158e-09,1.17777409329209,1.0045703118684e-09,TRUE
"AC079298.3",-2.44345467288874,2.04313445484091e-09,-2.59765906242058,1.20020812610388e-07,TRUE
"EDNRB",-1.11660299004491,2.83858876140549e-09,-1.29015126672344,2.27826325026694e-07,TRUE
"AC012404.1",0.885744626473322,2.87738706850152e-09,1.02595657182228,7.61027047664532e-10,TRUE
"NEAT1",-0.479220456431067,3.8942398549847e-09,-0.640451074101664,1.78495027295999e-09,TRUE
"NAALAD2",1.6095624749699,4.34609906031585e-09,1.71044069605569,2.42728799700122e-09,TRUE
"IL1RAPL1",0.997614574198215,5.54834743882445e-09,1.12766202362152,2.446054449324e-11,TRUE
"YAF2",-0.578715009203632,6.50793238068713e-09,-0.781729359627364,1.47195062309273e-09,TRUE
"AL590999.1",-0.776988498123996,7.6456492823091e-09,-0.923928742921237,3.48117595452576e-08,TRUE
"CASC15",0.565755547474331,9.56609152003932e-09,0.844486442030338,1.98615639060628e-08,TRUE
"ENPP1",1.0202636080591,1.02903935355156e-08,1.22998363487798,3.48117595452576e-08,TRUE
"DISC1",0.86452125387404,1.09806280985155e-08,0.591089392833612,2.42552527116328e-08,TRUE
"CALD1",-0.258740929888227,1.16478908011024e-08,-0.618193941234955,3.27218174923333e-10,TRUE
"MPPED2",0.798044991030682,1.21254260565025e-08,1.18693529443389,3.04275039151665e-10,TRUE
"MKLN1",-0.407604335763965,1.21930604434756e-08,-0.691752630061774,7.23163445630598e-10,TRUE
"ADAMTS9-AS1",-1.9009642883729,1.29339839085575e-08,-2.43737850729418,6.15319609727332e-09,TRUE
"AP003555.2",1.27375593729144,1.42165551995468e-08,1.36267744939921,3.43703380159198e-08,TRUE
"SLC9A7",-1.82169075835267,1.42165551995468e-08,-1.89434059613609,1.0902816527249e-08,TRUE
"STARD8",1.11517936927076,1.44635373064641e-08,1.35235829905048,7.40327436112848e-09,TRUE
