"name","contribution","contribution.scaled","group","contribution.relative.1","pvalues"
"LAMININ",0.830257993110117,5.37580097352331,"HFpEF",1.4,1.18598686959142e-08
"COLLAGEN",0.738081121888006,3.29270639440641,"HFpEF",1.3,1.07286918412512e-06
"LAMININ",0.58368932060338,1.85740196506352,"control",1.4,1.18598686959142e-08
"COLLAGEN",0.569719062224967,1.7774241479627,"control",1.3,1.07286918412512e-06
"PTPRM",0.152005767491554,0.5308315413132,"HFpEF",1.3,0.00270462036132812
"ADGRL",0.138244287140349,0.505373902972251,"HFpEF",1.9,1.26788155318618e-09
"PTPRM",0.116518986822994,0.465180962540099,"control",1.3,0.00270462036132812
"NCAM",0.0916529175332248,0.418454430965282,"HFpEF",1.2,0.00133262807503343
"CDH",0.0814610711211266,0.398782910123154,"control",0.9,0.467212847637711
"NCAM",0.0778262143990906,0.391653555895022,"control",1.2,0.00133262807503343
"CDH",0.0733445820714244,0.382762425650713,"HFpEF",0.9,0.467212847637711
"ADGRL",0.0719005192213991,0.379871116841097,"control",1.9,1.26788155318618e-09
"NEGR",0.0634906141271318,0.362731093268713,"HFpEF",1.1,0.04425048828125
"FN1",0.0619063358044691,0.359436479205789,"HFpEF",1.3,0.00016237771112689
"NEGR",0.0591644044503453,0.353677425422143,"control",1.1,0.04425048828125
"THBS",0.0583630471339037,0.351979773454064,"HFpEF",1.4,0.00659406886765849
"EPHA",0.0581825178974966,0.351596380400991,"HFpEF",1.5,2.93176519471318e-10
"FN1",0.0488727409311404,0.331286481672283,"control",1.3,0.00016237771112689
"BMP",0.0457160770885306,0.324117038685115,"HFpEF",1.9,5.38409890053192e-06
"SEMA3",0.0425604020981213,0.316773373161799,"HFpEF",1.4,0.124353585548452
"THBS",0.0422608853616906,0.316066282871303,"control",1.4,0.00659406886765849
"ADGRG",0.0390879607052839,0.308457208511969,"HFpEF",2,0.0019703607792394
"NRG",0.0387937791197485,0.307740090053636,"HFpEF",1.7,0.000252863050682697
"EPHA",0.0375465874366286,0.304676220716612,"control",1.5,2.93176519471318e-10
"TENASCIN",0.0352635552413916,0.298962128058056,"HFpEF",1.5,0.165241446895473
"VEGF",0.033646209883184,0.294823935714534,"HFpEF",1.4,0.161238879234588
"JAM",0.0316787245668195,0.289677909423195,"HFpEF",3.6,9.16751166761841e-07
"SEMA3",0.0304202854055883,0.286315908241439,"control",1.4,0.124353585548452
"VEGF",0.0248700950378639,0.270702721541562,"control",1.4,0.161238879234588
"Glutamate",0.0240507608308884,0.268269944608038,"HFpEF",1.5,0.00234383598557431
"BMP",0.0240393586374461,0.268235821282692,"control",1.9,5.38409890053192e-06
"TENASCIN",0.0236966661826447,0.267206715798958,"control",1.5,0.165241446895473
"FGF",0.0234521809911846,0.266468287606962,"HFpEF",1.5,0.000348202805819293
"NRG",0.023420383796243,0.266371985844991,"control",1.7,0.000252863050682697
"APP",0.0226861047988116,0.264130823034087,"HFpEF",1.5,0.0040175051530996
"SLIT",0.0212702427687085,0.259710157905053,"HFpEF",2.3,0.000846266746520997
"SEMA6",0.0197131787514738,0.254681822647406,"HFpEF",1.3,0.288085103460593
"NRXN",0.0195992367633396,0.254306382695955,"HFpEF",1.6,2.2919593672233e-05
"ADGRG",0.0194264193379642,0.253734894047014,"control",2,0.0019703607792394
"NOTCH",0.0193834648025993,0.253592460140578,"HFpEF",2.2,3.94570308966844e-10
"PECAM1",0.0184583784840564,0.250486137659699,"HFpEF",1.3,0.00399783145439869
"PDGF",0.017315037848733,0.246537387615232,"HFpEF",1.2,5.58700424603884e-06
"Cholesterol",0.0164997321304216,0.243640309818457,"HFpEF",1.2,0.14329311682377
"Glutamate",0.0156015748837629,0.240362461838961,"control",1.5,0.00234383598557431
"APP",0.0154675221127267,0.239864938715401,"control",1.5,0.0040175051530996
"FGF",0.0152578500511527,0.239082240687956,"control",1.5,0.000348202805819293
"SEMA6",0.014836614499981,0.237492617502854,"control",1.3,0.288085103460593
"Netrin",0.014255568206473,0.235260478318134,"HFpEF",1.9,2.93431674151809e-05
"PDGF",0.0139187629519112,0.233944533116787,"control",1.2,5.58700424603884e-06
"Cholesterol",0.0138481243981072,0.233666398721014,"control",1.2,0.14329311682377
"PECAM1",0.0137969232840377,0.233464325226446,"control",1.3,0.00399783145439869
"CD99",0.013616444710816,0.232748828659154,"control",1,0.0274793557835742
"CD99",0.0132813607435059,0.231406827359316,"HFpEF",1,0.0274793557835742
"NRXN",0.0121215681972402,0.226615084246601,"control",1.6,2.2919593672233e-05
"PTPR",0.0118985179690299,0.225665301684595,"HFpEF",2.1,1.17799459076196e-09
"UNC5",0.0114357943521942,0.223663260394756,"HFpEF",2.9,1.85082171810791e-09
"ANGPTL",0.0112222839158634,0.22272439931939,"control",0.5,0.319197602018925
"ANGPT",0.0109237720681007,0.221394995034099,"HFpEF",1.4,0.00544307220843621
"GAS",0.00975986241849971,0.216007122483575,"control",0.9,0.605130781224596
"SLIT",0.00943588123178762,0.214443374392034,"control",2.3,0.000846266746520997
"CADM",0.00886174678101621,0.211594920019238,"HFpEF",1.4,0.016357421875
"JAM",0.00884536352407031,0.211512102326271,"control",3.6,9.16751166761841e-07
"NOTCH",0.00871910161343871,0.210870853355002,"control",2.2,3.94570308966844e-10
"GAS",0.00866809237108975,0.210610269973511,"HFpEF",0.9,0.605130781224596
"GAP",0.00841771141244555,0.209318118765925,"HFpEF",1.5,0.0247120238709613
"HSPG",0.0083673492514474,0.20905552693132,"HFpEF",1.2,0.0987396240234375
"EPHB",0.00793749526846524,0.206775730061299,"HFpEF",2,0.0154901930654887
"ANGPT",0.00792623255806432,0.206715036954638,"control",1.4,0.00544307220843621
"ADGRE",0.00783594571047064,0.206226654709951,"HFpEF",1.1,0.83477456807485
"TGFb",0.00766138034533214,0.205272923182299,"HFpEF",1.1,0.143576282559262
"IGF",0.00765339849377858,0.205229010155847,"HFpEF",1.7,0.000339743349748289
"Netrin",0.00736758945247935,0.203638419786055,"control",1.9,2.93431674151809e-05
"PROS",0.00731862334629641,0.203362268256014,"HFpEF",1.4,0.39045020977841
"HSPG",0.00721082703121164,0.20275044653684,"control",1.2,0.0987396240234375
"CD46",0.00716776076981387,0.20250449546428,"HFpEF",1.8,8.37706970457931e-08
"ADGRE",0.00713454089712441,0.202314175744735,"control",1.1,0.83477456807485
"TGFb",0.00684108073146074,0.200609469295455,"control",1.1,0.143576282559262
"EGF",0.00659012822523753,0.199116620185413,"HFpEF",1.2,0.312570407986641
"CADM",0.00619824979016569,0.196715313837361,"control",1.4,0.016357421875
"ANGPTL",0.00578757699353314,0.194097813281189,"HFpEF",0.5,0.319197602018925
"GAP",0.00576754020347263,0.193967246328838,"control",1.5,0.0247120238709613
"PTPR",0.0057592848091983,0.193913370452817,"control",2.1,1.17799459076196e-09
"EGF",0.00549259133275891,0.192146764765448,"control",1.2,0.312570407986641
"PROS",0.00523555416434334,0.190393411674765,"control",1.4,0.39045020977841
"PTN",0.0051934904389955,0.190101445262228,"HFpEF",2.3,0.0154577380012826
"PERIOSTIN",0.00502005770912653,0.188881888838899,"control",0.9,0.0276182013829499
"VISFATIN",0.00479756395713615,0.187278297651538,"control",0.4,0.809191335847572
"MPZ",0.00474660282692706,0.186904495020938,"control",0.6,0.0410566329956055
"PERIOSTIN",0.00471275632775811,0.186654838515283,"HFpEF",0.9,0.0276182013829499
"PECAM2",0.0045903607825498,0.185742527786649,"control",0.8,0.183969093486667
"IGF",0.00449608135507162,0.185029312669445,"control",1.7,0.000339743349748289
"CD46",0.00403926402765323,0.181432463823081,"control",1.8,8.37706970457931e-08
"UNC5",0.0039502558526064,0.18070193897979,"control",2.9,1.85082171810791e-09
"EPHB",0.00390665169170617,0.180340224275823,"control",2,0.0154901930654887
"PECAM2",0.00379626803241173,0.179412849475574,"HFpEF",0.8,0.183969093486667
"WNT",0.00370706695261427,0.178650727359385,"control",0.7,0.00397090726019654
"CD45",0.00358556195057196,0.177593394263268,"HFpEF",1.1,0.833407321617869
"DHEA",0.00341059029756993,0.176029379039627,"HFpEF",1.3,0.022370750934652
"CD45",0.00332021790583978,0.175201157000668,"control",1.1,0.833407321617869
"CypA",0.00321501100735065,0.174218319496503,"control",1,0.103214263916016
"CypA",0.00313464161191672,0.17345330384334,"HFpEF",1,0.103214263916016
"MPZ",0.0028405852921342,0.170539471419616,"HFpEF",0.6,0.0410566329956055
"DHEAS",0.00280061988594667,0.170128367852416,"HFpEF",2.6,0.0120248415308879
"WNT",0.00273571547316418,0.169452399773458,"HFpEF",0.7,0.00397090726019654
"DHEA",0.00269790606159601,0.169053723854813,"control",1.3,0.022370750934652
"CDH5",0.00268671176487546,0.16893497843332,"HFpEF",1.9,0.134697914123535
"NECTIN",0.00247967915163676,0.166677053382962,"HFpEF",1.2,0.00636862975588212
"PTN",0.00225833540210831,0.164119335319151,"control",2.3,0.0154577380012826
"FLRT",0.00217514810968209,0.163114614307729,"HFpEF",6.9,0.002685546875
"NT",0.0020790758781874,0.161921508989093,"control",0.6,0.62206768989563
"NECTIN",0.00207078774004288,0.161816848680306,"control",1.2,0.00636862975588212
"VISFATIN",0.00187479050128857,0.159254476072728,"HFpEF",0.4,0.809191335847572
"Prostaglandin",0.00182234810615179,0.158538165457766,"HFpEF",1.4,5.73911214773376e-08
"ADGRA",0.00182125655331138,0.158523107366358,"HFpEF",3.4,0.0817138312304451
"CDH5",0.00143342870484145,0.152725710829797,"control",1.9,0.134697914123535
"ncWNT",0.00139854448292736,0.152153198154244,"HFpEF",1.2,0.0249416222504806
"NT",0.00134020689316511,0.151173150228577,"HFpEF",0.6,0.62206768989563
"CXCL",0.0013193595084707,0.150815712093339,"HFpEF",1.7,0.279850576713216
"Prostaglandin",0.00131093369843607,0.150670128401403,"control",1.4,5.73911214773376e-08
"CD34",0.00130367407394484,0.150544169223141,"HFpEF",8.7,0.001953125
"ncWNT",0.00119772679043157,0.148647386229951,"control",1.2,0.0249416222504806
"GRN",0.0011927151341077,0.148554793334935,"control",0.9,0.0274912166059949
"PARs",0.00110737092964293,0.146934218883899,"HFpEF",5.1,0.0078125
"GRN",0.00110431526580183,0.146874586531021,"HFpEF",0.9,0.0274912166059949
"DHEAS",0.00107145971722603,0.146225909170828,"control",2.6,0.0120248415308879
"ESAM",0.00104017782583864,0.145595087724321,"HFpEF",1.5,0.0011981725692749
"MHC-I",0.000906092863104653,0.142727286324676,"HFpEF",2,2.04145908355713e-06
"COMPLEMENT",0.000886220660210829,0.142276966124947,"control",0.8,0.890667984203902
"CXCL",0.00077290753145349,0.1395605017162,"control",1.7,0.279850576713216
"MHC-II",0.000737053360656595,0.138641447297318,"HFpEF",1.2,0.386492967605591
"ACTIVIN",0.000733435192243244,0.13854692201847,"HFpEF",6.7,1.9073486328125e-05
"COMPLEMENT",0.000727669548299348,0.138395594515225,"HFpEF",0.8,0.890667984203902
"TULP",0.000694933371237241,0.137519527011486,"control",1,0.65234375
"ESAM",0.000682281616641554,0.137172930634074,"control",1.5,0.0011981725692749
"TULP",0.000662566016833315,0.136623400477767,"HFpEF",1,0.65234375
"Testosterone",0.000634885128000492,0.135831427660929,"HFpEF",1.7,0.02557373046875
"MHC-II",0.000610022184062387,0.135098343946573,"control",1.2,0.386492967605591
"ADGRA",0.000532089088319653,0.132648871815597,"control",3.4,0.0817138312304451
"ANNEXIN",0.000483345462882043,0.13097956221306,"control",0.8,0.104156494140625
"CSPG4",0.000452580344642696,0.129860934141399,"control",0.8,0.305419921875
"MHC-I",0.000452316744314219,0.129851109856404,"control",2,2.04145908355713e-06
"VWF",0.00045191910467985,0.129836281954479,"control",0.3,0.2645263671875
"CSF",0.000451759085685807,0.12983031215276,"HFpEF",1.7,0.750992953777313
"RA",0.000442721938335747,0.129490593551018,"HFpEF",5.5,0.00390625
"ANNEXIN",0.000410118322505063,0.128220500718364,"HFpEF",0.8,0.104156494140625
"Testosterone",0.000379204112984475,0.126944859655972,"control",1.7,0.02557373046875
"CSPG4",0.000374358876254063,0.126737963098756,"HFpEF",0.8,0.305419921875
"CysLTs",0.000365787168815032,0.12636699232005,"HFpEF",3,0.437904958918807
"VISTA",0.000355717016044411,0.125922777191084,"HFpEF",1.1,0.423828125
"SEMA4",0.000336484658547614,0.125047549312507,"HFpEF",2,0.000952897213439935
"VISTA",0.000330630643095883,0.124773712149769,"control",1.1,0.423828125
"MIF",0.000327277574406806,0.124615220975471,"control",0.8,0.0644159910060935
"FLRT",0.000316943470424614,0.124118955145641,"control",6.9,0.002685546875
"ICAM",0.000302027071215392,0.12338072202685,"HFpEF",1.8,0.838193893432617
"CSF",0.000267211485150908,0.121544044977147,"control",1.7,0.750992953777313
"MIF",0.000265588403383288,0.12145410485023,"HFpEF",0.8,0.0644159910060935
"VCAM",0.000245877284464359,0.120327126281013,"HFpEF",2.8,0.0078125
"TRAIL",0.000228215241804499,0.119257436445112,"HFpEF",2.6,0.0662398338317872
"PARs",0.000216007447637887,0.118480637417735,"control",5.1,0.0078125
"SEMA5",0.000211207432999428,0.118166018779098,"control",0.3,1.63912773132324e-06
"GALECTIN",0.00020958941457926,0.118058735052885,"control",1,0.185474425554275
"IL16",0.000205027838439895,0.117752831471153,"HFpEF",1.1,0.495079040527344
"GALECTIN",0.000201229606820761,0.117494123228796,"HFpEF",1,0.185474425554275
"IL16",0.000187352783787042,0.116515933462931,"control",1.1,0.495079040527344
"CD39",0.000186458972815424,0.116451047274103,"HFpEF",23,0.00223392248153687
"SEMA4",0.000167756582333896,0.115035131435549,"control",2,0.000952897213439935
"CD200",0.000167188443891772,0.114990256628794,"HFpEF",9.8,0.7421875
"ICAM",0.000165978891931807,0.114894326805321,"control",1.8,0.838193893432617
"VWF",0.000151131401578827,0.113670453270568,"HFpEF",0.3,0.2645263671875
"CD34",0.000150570001749424,0.11362238738535,"control",8.7,0.001953125
"AGT",0.000147090316551785,0.113321333400269,"control",0.3,0.15625
"CysLTs",0.000122547774095931,0.111024640046543,"control",3,0.437904958918807
"ACTIVIN",0.000109969387035416,0.109705557046691,"control",6.7,1.9073486328125e-05
"VCAM",8.65548506404882e-05,0.106897768427268,"control",2.8,0.0078125
"TRAIL",8.61649373143404e-05,0.10684619993481,"control",2.6,0.0662398338317872
"NGF",8.56951269748776e-05,0.106783820244743,"control",0,0
"CLEC",8.27348434308983e-05,0.106384453150369,"HFpEF",20.2,0.00390625
"RA",7.97715963091836e-05,0.105973256207406,"control",5.5,0.00390625
"HGF",7.33130976104132e-05,0.105033507326973,"HFpEF",2,0.0736846923828125
"SEMA5",6.9258917347505e-05,0.10440965129967,"HFpEF",0.3,1.63912773132324e-06
"GDF",5.87409044554718e-05,0.102644383792788,"HFpEF",1.1,0.791411144891755
"IL2",5.33418528790958e-05,0.101638521695788,"HFpEF",1.8,0.07421875
"GDF",5.31595916287514e-05,0.101603176133848,"control",1.1,0.791411144891755
"MMP",5.21229385511041e-05,0.10140028287857,"control",0,0
"DESMOSOME",5.19441678263218e-05,0.101364969407734,"HFpEF",2.1,1
"CD6",4.90909832124428e-05,0.100787806058548,"HFpEF",2.5,0.1640625
"AGT",4.17825139440769e-05,0.0991765113167995,"HFpEF",0.3,0.15625
"CD96",3.96822999668626e-05,0.0986718248004962,"control",0.8,0.625
"HGF",3.73061030672659e-05,0.0980742760516041,"control",2,0.0736846923828125
"CX3C",3.56745427066021e-05,0.097646016115842,"HFpEF",Inf,0
"Adenosine",3.28479325496136e-05,0.0968652304501123,"HFpEF",303,0.03125
"SPP1",3.27791030077293e-05,0.0968455529535173,"control",0,0
"CD96",3.27316935094728e-05,0.09683197979112,"HFpEF",0.8,0.625
"SELL",2.93073855343656e-05,0.095806813537589,"HFpEF",4.8,1.52587890625e-05
"5alphaP",2.91460770861814e-05,0.0957561796613579,"HFpEF",Inf,0
"IL2",2.89129453928573e-05,0.0956825989973315,"control",1.8,0.07421875
"12oxoLTB4",2.88101926713194e-05,0.0956500159375675,"control",0,0
"IGFBP",2.74277483546382e-05,0.0952022326174005,"HFpEF",2,0.0753441015258433
"DESMOSOME",2.49523558006026e-05,0.0943525977316235,"control",2.1,1
"CALCR",2.12303136891086e-05,0.0929361076235046,"control",0.2,7.62939453125e-06
"CD6",1.97245996466438e-05,0.0923050453836635,"control",2.5,0.1640625
"TAC",1.74169447745623e-05,0.091256970877739,"HFpEF",1.3,0.202449798583984
"PVR",1.71604535435589e-05,0.0911335857888845,"HFpEF",1.7,0.09765625
"CD200",1.70032471677917e-05,0.0910572143230071,"control",9.8,0.7421875
"PCDH",1.6422121473235e-05,0.0907697901287521,"HFpEF",1.9,0
"NPNT",1.53191388478179e-05,0.0902005442628579,"HFpEF",3.3,0.0625
"IGFBP",1.36953692959999e-05,0.0892980502543692,"control",2,0.0753441015258433
"TAC",1.30822357257017e-05,0.0889343023049692,"control",1.3,0.202449798583984
"DHT",1.30509251117995e-05,0.0889153537581994,"HFpEF",1.9,0.594886779785156
"CLDN",1.27037490231476e-05,0.0887027045975471,"HFpEF",17.8,0.125
"RELN",1.07464944239713e-05,0.0874054745883364,"HFpEF",Inf,0
"PVR",1.02534551293194e-05,0.0870481431389429,"control",1.7,0.09765625
"PCDH",8.85545119089444e-06,0.0859514330746527,"control",1.9,0
