"gene","compartment","role","snRNA_log2FC_CB","CI_L","CI_R","snRNA_FDR_CB","snRNA_log2FC_CR","n_hf","n_ct","bulk_log2FC","concord"
"FLRT2","Fibroblast","ligand_FLRT",1.21107633976559,0.868676690362127,1.55347598916906,2.35783732149353e-07,1.42170880796342,18,24,1.1362,"两模态一致↑(corroborate)"
"FLRT2","Fibroblast","ligand_UNC5",1.21107633976559,0.868676690362127,1.55347598916906,2.35783732149353e-07,1.42170880796342,18,24,1.1362,"两模态一致↑(corroborate)"
"UNC5C","Fibroblast","receptor_UNC5",0.290971416242945,0.215039620231351,0.366903212254539,5.31023360829089e-08,0.460754020031349,18,24,-0.1587,"snRNA↑/bulk↓(查组分:他细胞拉低bulk?)"
"UNC5B","Fibroblast","receptor_UNC5",0.054554819664949,-0.344695882515102,0.453805521845,0.83232957607827,-0.0573546410385604,18,24,0.2694,"两模态一致↑(corroborate)"
"TENM2","Cardiomyocyte","ligand_ADGRL",0.0341164093846666,-0.0564053916568299,0.124638210426163,0.569448339823925,0.157008271510276,19,24,-0.306,"snRNA↑/bulk↓(查组分:他细胞拉低bulk?)"
"TENM3","Cardiomyocyte","ligand_ADGRL",0.962898026946406,0.531065765464427,1.39473028842839,0.000481160757183717,1.25119259756524,19,24,0.2829,"两模态一致↑(corroborate)"
"TENM4","Cardiomyocyte","ligand_ADGRL",NA,NA,NA,NA,NA,19,24,1.184,"snRNA低表达/功效不足"
"ADGRL1","Cardiomyocyte","receptor_ADGRL",-0.133029077762759,-0.384606611564176,0.118548456038659,0.41006263062713,-0.162208636442261,19,24,-0.2421,"两模态一致↓(降级信号)"
"ADGRL2","Cardiomyocyte","receptor_ADGRL",0.428551128919685,0.174214901079645,0.682887356759724,0.0062522353118519,0.669638476727582,19,24,-0.2963,"snRNA↑/bulk↓(查组分:他细胞拉低bulk?)"
"ADGRL3","Cardiomyocyte","receptor_ADGRL",-0.270579342626038,-0.86271899729889,0.321560312046814,0.482888490375224,-0.431346296592506,19,24,-0.5843,"两模态一致↓(降级信号)"
