"interaction_name","ligand","receptor","prob_HFpEF","prob_control","delta","share_HFpEF","pathway"
"FLRT2_UNC5C","FLRT2","UNC5C",0.00789196011461611,0.00169997893646419,0.00619198117815192,0.690110356269379,"UNC5"
"FLRT1_UNC5C","FLRT1","UNC5C",0.00222439800691588,0.0018866430985588,0.000337754908357089,0.194511892957316,"UNC5"
"FLRT2_UNC5B","FLRT2","UNC5B",0.00101216380466734,0.000168405045709993,0.000843758758957344,0.0885083950878436,"UNC5"
"FLRT1_UNC5B","FLRT1","UNC5B",0.00026978845755494,0.000183412216848597,8.6376240706343e-05,0.0235915800202524,"UNC5"
"FLRT2_UNC5D","FLRT2","UNC5D",2.98151650577501e-05,5.78056252125542e-06,2.40346025364947e-05,0.00260717919013902,"UNC5"
"FLRT1_UNC5D","FLRT1","UNC5D",7.66880338220699e-06,6.0359925035666e-06,1.63281087864039e-06,0.000670596475070011,"UNC5"
"FLRT2_FLRT2","FLRT2","FLRT2",0.00203690438959651,0.000150750332469043,0.00188615405712747,0.936443996861536,"FLRT"
"FLRT1_FLRT1","FLRT1","FLRT1",0.000138243720085579,0.000166193137955571,-2.79494178699927e-05,0.0635560031384638,"FLRT"
"TENM2_ADGRL2","TENM2","ADGRL2",0.0360604571801254,0.0309893774154954,0.00507107976463,0.260872722187606,"ADGRL"
"TENM2_ADGRL3","TENM2","ADGRL3",0.0268270072336581,0.0136123939791697,0.0132146132544885,0.194075032666201,"ADGRL"
"TENM3_ADGRL2","TENM3","ADGRL2",0.0128834529763902,0.00537332943602982,0.00751012354036034,0.0932029628004628,"ADGRL"
"TENM4_ADGRL2","TENM4","ADGRL2",0.0125961655023619,0.00187735216573556,0.0107188133366263,0.0911246345910951,"ADGRL"
"FLRT2_ADGRL2","FLRT2","ADGRL2",0.0110716642613037,0.00239655295298402,0.00867511130831973,0.0800959117230884,"ADGRL"
"TENM4_ADGRL3","TENM4","ADGRL3",0.00705034556295875,0.000888737670799693,0.00616160789215905,0.0510044237704797,"ADGRL"
"TENM3_ADGRL3","TENM3","ADGRL3",0.0070211536600613,0.00223033074425774,0.00479082291580357,0.0507932403365966,"ADGRL"
"FLRT2_ADGRL3","FLRT2","ADGRL3",0.00640558197239346,0.00122698202435692,0.00517859994803654,0.0463400005714604,"ADGRL"
"TENM3_FLRT1_ADGRL3","TENM3_FLRT1","ADGRL3",0.00329958904792861,0.00151369602509627,0.00178589302283234,0.0238702679983757,"ADGRL"
"FLRT1_ADGRL2","FLRT1","ADGRL2",0.00316788832663886,0.00277530191551082,0.000392586411128041,0.0229175034367588,"ADGRL"
"TENM2_ADGRL1","TENM2","ADGRL1",0.00280503984052607,0.00228118711209502,0.000523852728431046,0.0202925430309305,"ADGRL"
"TENM1_ADGRL2","TENM1","ADGRL2",0.00209195264952451,0.000852273722826514,0.001239678926698,0.0151338453542905,"ADGRL"
"FLRT1_ADGRL3","FLRT1","ADGRL3",0.00176389002090695,0.00131538489427507,0.000448505126631885,0.0127605368144683,"ADGRL"
"TENM1_ADGRL3","TENM1","ADGRL3",0.00116447758370447,0.00040175584820789,0.000762721735496582,0.00842419816448857,"ADGRL"
"TENM3_ADGRL1","TENM3","ADGRL1",0.000918936634189517,0.000362415053176209,0.000556521581013308,0.00664787748201537,"ADGRL"
"TENM4_ADGRL1","TENM4","ADGRL1",0.000834936518469038,0.000122609728757891,0.000712326789711147,0.00604019414781314,"ADGRL"
"TENM2_FLRT1_ADGRL1","TENM2_FLRT1","ADGRL1",0.000729023505155759,0.000638004597499505,9.10189076562535e-05,0.00527398600019833,"ADGRL"
"FLRT2_ADGRL1","FLRT2","ADGRL1",0.000725081455549606,0.000159866119864266,0.00056521533568534,0.00524546796986336,"ADGRL"
"NRXN3_ADGRL1","NRXN3","ADGRL1",0.000340703152251937,0.000135662930585531,0.000205040221666406,0.00246475407513267,"ADGRL"
"FLRT1_ADGRL1","FLRT1","ADGRL1",0.000201387533752527,0.000181746029560389,1.96415041921381e-05,0.00145690094505028,"ADGRL"
"NRXN1_ADGRL1","NRXN1","ADGRL1",0.000135176643176757,8.97173915362982e-05,4.5459251640459e-05,0.000977910476995806,"ADGRL"
"TENM1_ADGRL1","TENM1","ADGRL1",0.000132380295059473,5.56687761520817e-05,7.67115189073912e-05,0.000957680812632532,"ADGRL"
"TENM4_FLRT1_ADGRL1","TENM4_FLRT1","ADGRL1",3.78814612381708e-06,1.88583927950194e-05,-1.50702466712023e-05,2.74046439962842e-05,"ADGRL"
"NTN1_UNC5C","NTN1","UNC5C",0.00916861599604616,0.00523448163995234,0.00393413435609382,0.64316033308886,"Netrin"
"NTN4_UNC5B","NTN4","UNC5B",0.00277828254298616,0.00134845362868814,0.00142982891429803,0.194891042064856,"Netrin"
"NTN1_UNC5B","NTN1","UNC5B",0.00133026463567482,0.000556945332034166,0.000773319303640656,0.0933154411250185,"Netrin"
"NTN4_NTRK2","NTN4","NTRK2",0.000766869579683367,0.000141987416094758,0.00062488216358861,0.0537943888715115,"Netrin"
"NTN4_UNC5D","NTN4","UNC5D",9.4153317070092e-05,5.55567123673278e-05,3.85966047027642e-05,0.00660466953729278,"Netrin"
"NTN1_DCC","NTN1","DCC",5.91516357874793e-05,1.53671120249288e-05,4.37845237625505e-05,0.00414937061299459,"Netrin"
"NTN1_DSCAM","NTN1","DSCAM",5.82304992249654e-05,1.29818931188111e-05,4.52486061061543e-05,0.00408475469946716,"Netrin"
"SLIT2_ROBO1","SLIT2","ROBO1",0.018831444717683,0.00916033051242588,0.00967111420525717,0.885342255960835,"SLIT"
"SLIT2_ROBO2","SLIT2","ROBO2",0.00243879805102547,0.000275550719361747,0.00216324733166373,0.114657744039165,"SLIT"
