"sender","receiver","prob_HFpEF","prob_control","delta","share_HFpEF","pathway"
"Fibroblast","Fibroblast",0.00342773157572495,0.00085283002175427,0.00257490155397068,0.299737077299511,"UNC5"
"Cardiomyocyte","Fibroblast",0.00136008875834459,0.0011754354752241,0.000184653283120486,0.118932600259957,"UNC5"
"Fibroblast","Pericyte",0.00128435454144771,0.000323855562512649,0.000960498978935058,0.112310041776964,"UNC5"
"Endocardial","Fibroblast",0.00125559626675567,0.000161953885745656,0.00109364238101002,0.109795282084166,"UNC5"
"Fibroblast","Endothelial1",0.000785764338482997,0.000147477021955024,0.000638287316527973,0.0687109538947095,"UNC5"
"Cardiomyocyte","Pericyte",0.000507756147588721,0.000446342503939294,6.14136436494271e-05,0.0444006014756025,"UNC5"
"Endocardial","Pericyte",0.000472200954882929,6.14735605453297e-05,0.000410727394337599,0.0412914870922217,"UNC5"
"Endothelial1","Fibroblast",0.000367317125170902,0.000107256886016192,0.00026006023915471,0.0321199484581868,"UNC5"
"Cardiomyocyte","Endothelial1",0.000302139568287511,0.000203549156440721,9.85904118467905e-05,0.0264205143064276,"UNC5"
"Endocardial","Endothelial1",0.0002974577038095,2.83934531224818e-05,0.000269064250687018,0.0260111099105613,"UNC5"
"Fibroblast","Cardiomyocyte",0.00023363555012752,3.66228069550679e-05,0.000197012743172452,0.0204301986317804,"UNC5"
"Fibroblast","VSMC",0.00020830796679102,2.87406310849818e-05,0.000179567335706039,0.0182154348334405,"UNC5"
"Cardiomyocyte","Cardiomyocyte",0.000167363887053949,0.000142724026605404,2.46398604485446e-05,0.0146350906547945,"UNC5"
"Endothelial1","Pericyte",0.000139445837647439,4.18442738087175e-05,9.7601563838722e-05,0.0121938042389406,"UNC5"
"Endocardial","Cardiomyocyte",8.8724650244827e-05,7.0637673350331e-06,8.16608829097939e-05,0.00775850347709367,"UNC5"
"Fibroblast","Macrophage",8.57424561328751e-05,2.61310511208294e-05,5.96114050120457e-05,0.00749772630498759,"UNC5"
"Cardiomyocyte","VSMC",8.2499177247991e-05,3.96020469403482e-05,4.28971303076428e-05,0.00721411864425156,"UNC5"
"Endocardial","VSMC",7.6446539392985e-05,5.44381633399663e-06,7.10027230589884e-05,0.00668484733448507,"UNC5"
"Fibroblast","Lymphocyte",4.31629876086952e-05,8.13649199770619e-06,3.5026495610989e-05,0.00377437598818078,"UNC5"
"Endothelial1","Endothelial1",4.3031665946097e-05,9.92670113501626e-06,3.31049648110807e-05,0.00376289260027139,"UNC5"
"Cardiomyocyte","Macrophage",3.29490445824798e-05,3.60664921475675e-05,-3.11744756508773e-06,0.00288122045288071,"UNC5"
"Endocardial","Macrophage",3.24802730331673e-05,5.03119584396185e-06,2.74490771892055e-05,0.00284022884924782,"UNC5"
"Cardiomyocyte","Endocardial",3.17271176247456e-05,1.74961369404997e-05,1.42309806842459e-05,0.00277436937458201,"UNC5"
"Endocardial","Endocardial",3.13578316667981e-05,2.43839837319389e-06,2.89194332936042e-05,0.00274207726206456,"UNC5"
"Endothelial1","VSMC",2.26713552090678e-05,3.71780749701381e-06,1.8953547712054e-05,0.00198249063517986,"UNC5"
"Cardiomyocyte","Lymphocyte",1.65862024759226e-05,1.12287956574269e-05,5.35740681849566e-06,0.00145037607052982,"UNC5"
"Endocardial","Lymphocyte",1.63511257234401e-05,1.56476155342973e-06,1.47863641700104e-05,0.00142981984634087,"UNC5"
"Fibroblast","Endocardial",1.30313022417703e-05,1.26777104503982e-05,3.53591791372093e-07,0.00113951876366769,"UNC5"
"Endothelial2","Fibroblast",3.62422219070826e-06,0,3.62422219070826e-06,0.000316919146942588,"UNC5"
"Endothelial1","Cardiomyocyte",1.9977951243944e-06,5.59974231167133e-07,1.43782089322726e-06,0.000174696664076604,"UNC5"
"Fibroblast","Endothelial2",1.95613654758229e-06,5.11056819333312e-07,1.44507972824898e-06,0.000171053840890988,"UNC5"
"Cardiomyocyte","Endothelial2",7.53677796140545e-07,3.64667401559656e-06,-2.89299621945602e-06,6.5905154721144e-05,"UNC5"
"Endocardial","Endothelial2",7.38907805231331e-07,5.09038541156748e-07,2.29869264074583e-07,6.46135967887141e-05,"UNC5"
"Endothelial2","Endothelial1",4.29217277297123e-07,0,4.29217277297123e-07,3.75327908213711e-05,"UNC5"
"Endothelial2","VSMC",2.23890637445174e-07,0,2.23890637445174e-07,1.95780573303345e-05,"UNC5"
