"name","pvalues","pvalues_BH","signif_raw","signif_BH"
"CX3C",0,0,TRUE,TRUE
"5alphaP",0,0,TRUE,TRUE
"RELN",0,0,TRUE,TRUE
"CD48",0,0,TRUE,TRUE
"CD160",0,0,TRUE,TRUE
"IL1",0,0,TRUE,TRUE
"KIT",0,0,TRUE,TRUE
"Estradiol",0,0,TRUE,TRUE
"CALC",0,0,TRUE,TRUE
"GNRH",0,0,TRUE,TRUE
"SELPLG",0,0,TRUE,TRUE
"PCDH",0,0,TRUE,TRUE
"ApoB",0,0,TRUE,TRUE
"IL10",0,0,TRUE,TRUE
"TWEAK",0,0,TRUE,TRUE
"PLAU",0,0,TRUE,TRUE
"CEACAM",0,0,TRUE,TRUE
"CD30",0,0,TRUE,TRUE
"IL12",0,0,TRUE,TRUE
"CCL",0,0,TRUE,TRUE
"LCK",0,0,TRUE,TRUE
"SIRP",0,0,TRUE,TRUE
"12oxoLTB4",0,0,TRUE,TRUE
"SPP1",0,0,TRUE,TRUE
"MMP",0,0,TRUE,TRUE
"NGF",0,0,TRUE,TRUE
"EPHA",2.93176519471318e-10,1.49845776618674e-09,TRUE,TRUE
"NOTCH",3.94570308966844e-10,1.94466795133659e-09,TRUE,TRUE
"PTPR",1.17799459076196e-09,5.60562943190172e-09,TRUE,TRUE
"ADGRL",1.26788155318618e-09,5.83225514465643e-09,TRUE,TRUE
"UNC5",1.85082171810791e-09,8.23914184189974e-09,TRUE,TRUE
"LAMININ",1.18598686959142e-08,5.11456837511299e-08,TRUE,TRUE
"Prostaglandin",5.73911214773376e-08,2.39999235268866e-07,TRUE,TRUE
"CD46",8.37706970457931e-08,3.4001047624469e-07,TRUE,TRUE
"JAM",9.16751166761841e-07,3.61461888608955e-06,TRUE,TRUE
"COLLAGEN",1.07286918412512e-06,4.11266520581295e-06,TRUE,TRUE
"SEMA5",1.63912773132324e-06,6.11350343034074e-06,TRUE,TRUE
"MHC-I",2.04145908355713e-06,7.4137198297601e-06,TRUE,TRUE
"BMP",5.38409890053192e-06,1.90514268788053e-05,TRUE,TRUE
"PDGF",5.58700424603884e-06,1.9275164648834e-05,TRUE,TRUE
"CALCR",7.62939453125e-06,2.56794254954268e-05,TRUE,TRUE
"SELL",1.52587890625e-05,5.01360212053572e-05,TRUE,TRUE
"ACTIVIN",1.9073486328125e-05,6.12125840297965e-05,TRUE,TRUE
"NRXN",2.2919593672233e-05,7.18841801538217e-05,TRUE,TRUE
"Netrin",2.93431674151809e-05,8.99857134065548e-05,TRUE,TRUE
"FN1",0.00016237771112689,0.000487133133380671,TRUE,TRUE
"NRG",0.000252863050682697,0.000742448957323665,TRUE,TRUE
"IGF",0.000339743349748289,0.000976762130526332,TRUE,TRUE
"FGF",0.000348202805819293,0.000980652800062499,TRUE,TRUE
"SLIT",0.000846266746520997,0.00233569622039795,TRUE,TRUE
"SEMA4",0.000952897213439935,0.00257842775401394,TRUE,TRUE
"ESAM",0.0011981725692749,0.00317976566461416,TRUE,TRUE
"NCAM",0.00133262807503343,0.00346986178027571,TRUE,TRUE
"CD34",0.001953125,0.00494381431881886,TRUE,TRUE
"ADGRG",0.0019703607792394,0.00494381431881886,TRUE,TRUE
"CD39",0.00223392248153687,0.005505023258073,TRUE,TRUE
"Glutamate",0.00234383598557431,0.00567455028086411,TRUE,TRUE
"FLRT",0.002685546875,0.00632606118412341,TRUE,TRUE
"PTPRM",0.00270462036132812,0.00632606118412341,TRUE,TRUE
"CLEC",0.00390625,0.00866274548637101,TRUE,TRUE
"RA",0.00390625,0.00866274548637101,TRUE,TRUE
"WNT",0.00397090726019654,0.00866274548637101,TRUE,TRUE
"PECAM1",0.00399783145439869,0.00866274548637101,TRUE,TRUE
"APP",0.0040175051530996,0.00866274548637101,TRUE,TRUE
"ANGPT",0.00544307220843621,0.0115560609963723,TRUE,TRUE
"NECTIN",0.00636862975588212,0.0133162258532081,TRUE,TRUE
"THBS",0.00659406886765849,0.01358181348861,TRUE,TRUE
"PARs",0.0078125,0.015625,TRUE,TRUE
"VCAM",0.0078125,0.015625,TRUE,TRUE
"DHEAS",0.0120248415308879,0.0237061161608933,TRUE,TRUE
"PTN",0.0154577380012826,0.0296895367088534,TRUE,TRUE
"EPHB",0.0154901930654887,0.0296895367088534,TRUE,TRUE
"CADM",0.016357421875,0.0309222495719178,TRUE,TRUE
"DHEA",0.022370750934652,0.0417184274186754,TRUE,TRUE
"GAP",0.0247120238709613,0.0452887351390305,TRUE,TRUE
"ncWNT",0.0249416222504806,0.0452887351390305,TRUE,TRUE
"Testosterone",0.02557373046875,0.0458334390219156,TRUE,TRUE
"CD99",0.0274793557835742,0.0476413973855885,TRUE,TRUE
"GRN",0.0274912166059949,0.0476413973855885,TRUE,TRUE
"PERIOSTIN",0.0276182013829499,0.0476413973855885,TRUE,TRUE
"Adenosine",0.03125,0.0532407407407408,TRUE,FALSE
"MPZ",0.0410566329956055,0.0690953091877263,TRUE,FALSE
"NEGR",0.04425048828125,0.073573100997741,TRUE,FALSE
"NPNT",0.0625,0.102678571428571,FALSE,FALSE
"MIF",0.0644159910060935,0.104581255986364,FALSE,FALSE
"TRAIL",0.0662398338317872,0.10629182638124,FALSE,FALSE
"HGF",0.0736846923828125,0.116388494318182,FALSE,FALSE
"IL2",0.07421875,0.116388494318182,FALSE,FALSE
"IGFBP",0.0753441015258433,0.116825685511982,FALSE,FALSE
"ADGRA",0.0817138312304451,0.125294541220016,FALSE,FALSE
"PVR",0.09765625,0.148094093406593,FALSE,FALSE
"HSPG",0.0987396240234375,0.148109436035156,FALSE,FALSE
"CypA",0.103214263916016,0.152910597780918,FALSE,FALSE
"ANNEXIN",0.104156494140625,0.152910597780918,FALSE,FALSE
"SEMA3",0.124353585548452,0.176020408163265,FALSE,FALSE
"NGL",0.125,0.176020408163265,FALSE,FALSE
"CLDN",0.125,0.176020408163265,FALSE,FALSE
"OCLN",0.125,0.176020408163265,FALSE,FALSE
"CDH5",0.134697914123535,0.187760728778261,FALSE,FALSE
"Cholesterol",0.14329311682377,0.196173534585922,FALSE,FALSE
"TGFb",0.143576282559262,0.196173534585922,FALSE,FALSE
"AGT",0.15625,0.21139705882353,FALSE,FALSE
"VEGF",0.161238879234588,0.216028789654109,FALSE,FALSE
"CD6",0.1640625,0.217174473062621,FALSE,FALSE
"TENASCIN",0.165241446895473,0.217174473062621,FALSE,FALSE
"PECAM2",0.183969093486667,0.239210006789626,FALSE,FALSE
"GALECTIN",0.185474425554275,0.239210006789626,FALSE,FALSE
"TAC",0.202449798583984,0.258685853746202,FALSE,FALSE
"VWF",0.2645263671875,0.334904941943807,FALSE,FALSE
"CXCL",0.279850576713216,0.351085268967489,FALSE,FALSE
"SEMA6",0.288085103460593,0.358159858356413,FALSE,FALSE
"CSPG4",0.305419921875,0.376320975167411,FALSE,FALSE
"LAIR1",0.3125,0.378374704404881,FALSE,FALSE
"EGF",0.312570407986641,0.378374704404881,FALSE,FALSE
"ANGPTL",0.319197602018925,0.38303712242271,FALSE,FALSE
"MHC-II",0.386492967605591,0.459793358013548,FALSE,FALSE
"PROS",0.39045020977841,0.460531016661715,FALSE,FALSE
"VISTA",0.423828125,0.495663400423729,FALSE,FALSE
"CysLTs",0.437904958918807,0.507822557401642,FALSE,FALSE
"CDH",0.467212847637711,0.537294774783368,FALSE,FALSE
"IL16",0.495079040527344,0.564635599940276,FALSE,FALSE
"DHT",0.594886779785156,0.672904718117636,FALSE,FALSE
"GAS",0.605130781224596,0.678927217959303,FALSE,FALSE
"NT",0.62206768989563,0.68452380952381,FALSE,FALSE
"CD96",0.625,0.68452380952381,FALSE,FALSE
"FLT3",0.625,0.68452380952381,FALSE,FALSE
