"pathway","BH_raw","dir_raw","BH_cb","dir_cb","BH_dx","dir_dx","HFpEF_specific_any","robust_3arm"
"EPHA",1.49845776618674e-09,"HFpEF_up",0.00458791930621375,"HFpEF_up",2.31894237248664e-09,"HFpEF_up",FALSE,TRUE
"EPHB",0.0296895367088534,"HFpEF_up",0.0630757422353645,"HFpEF_up",0.183510638297872,"HFpEF_up",FALSE,FALSE
"ADGRL",5.83225514465643e-09,"HFpEF_up",1.02558399282099e-09,"HFpEF_up",1.90499732650062e-07,"HFpEF_up",FALSE,TRUE
"UNC5",8.23914184189974e-09,"HFpEF_up",1.5132874250412e-05,"HFpEF_up",3.04183418467251e-05,"HFpEF_up",FALSE,TRUE
"Netrin",8.99857134065548e-05,"HFpEF_up",5.41277377124061e-05,"HFpEF_up",8.3641412020512e-06,"HFpEF_up",FALSE,TRUE
"SEMA5",6.11350343034074e-06,"HFpEF_down",0.161631944444444,"HFpEF_down",1.06416642665863e-05,"HFpEF_down",FALSE,FALSE
"SLIT",0.00233569622039795,"HFpEF_up",0.051953125,"HFpEF_up",0.0707506033090445,"HFpEF_up",FALSE,FALSE
"NCAM",0.00346986178027571,"HFpEF_up",0.791917827394273,"HFpEF_down",0.0088392472357536,"HFpEF_up",FALSE,FALSE
"NRXN",7.18841801538217e-05,"HFpEF_up",0.00161369043777623,"HFpEF_up",0.000107869364940223,"HFpEF_up",FALSE,TRUE
"FLRT",0.00632606118412341,"HFpEF_up",0.0387709888059702,"HFpEF_up",0.0185546875,"HFpEF_up",FALSE,TRUE
"LAMININ",5.11456837511299e-08,"HFpEF_up",3.57840097554435e-07,"HFpEF_up",2.15702379533317e-08,"HFpEF_up",FALSE,TRUE
"COLLAGEN",4.11266520581295e-06,"HFpEF_up",0.00024787852958838,"HFpEF_up",1.37968865932467e-06,"HFpEF_up",FALSE,TRUE
"FN1",0.000487133133380671,"HFpEF_up",0.0630757422353645,"HFpEF_up",0.000128424112672513,"HFpEF_up",FALSE,FALSE
